Item,Link,Step/STL File,Price (bf tax + ship),Quantity,Total
Microcontroller,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-DEVKITC-32E/12091810?gQT=2,N/A,8.09,1,16.18
Battery Holder,https://www.digikey.com/en/products/detail/olimex-ltd/BAT-HOLDER-4XAA/21662650?gad_source=1&gad_campaignid=20783325532&gbraid=0AAAAADrbLliVhFDAqSriuXbsC1EiN0tFu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh9lExZeceX_pAcL-1aVytfFR7L3JOBg_X3Y_iLB_qMWwFW642HeTPBoCh-kQAvD_BwE&gclsrc=aw.ds,DNE,0.59,1,1.18
Servos,https://www.amazon.com/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0CP98TZJ2/ref=asc_df_B0BWJ2CK9D?mcid=42fb0e1405373275a8e090bd2b714df8&hvocijid=4752185336220157426-B0BWJ2CK9D-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=4752185336220157426&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017274&hvtargid=pla-2281435178618&th=1,https://www.electronicoscaldas.com/datasheet/MG90S_Tower-Pro.pdf?srsltid=AfmBOopFh5ZP-KCsfEakkL5yVIUkPUQWl2_Do_A8-68RYsNCWP2CnjHr,13.99,0.5,13.99
Sensor,https://www.digikey.com/en/products/detail/lite-on-inc/LTH-301-05/3198344?gad_source=1&gad_campaignid=21273973101&gbraid=0AAAAADrbLljyWGOCHlFFcfZETCdLezsJF&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh-4MRv9nci754U5Sh_1Gk9tgjCk57-jxSNfryezqVYfAlnWVnRdQyhoCRuMQAvD_BwE&gclsrc=aw.ds,https://optoelectronics.liteon.com/upload/download/DS-55-92-0002/H301-05.pdf,0.7,1,1.4
Light indicator,https://www.digikey.com/en/products/detail/inolux/HV-5RGB60/7604616?gad_source=1&gad_campaignid=20228387720&gbraid=0AAAAADrbLlilqazAoxr5q6IYaw-_-vecu&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh5ecru-l1ZT5LI9ApcwNIsJfQR3MiCSApFQpVOKJvI3g9hOXdcG7nxoCkHAQAvD_BwE&gclsrc=aw.ds,https://www.inolux-corp.com/datasheet/Inolux%20Lamp/TH%20Lamp/HV-5RGBXX%205mm%20Full-Color%20Series.pdf,1.06,1,2.12
Camera,https://www.alibaba.com/product-detail/p_62408774762.html?mark=google_shopping&src=sem_ggl&field=UG&from=sem_ggl&cmpgn=22635874527&adgrp=177485315221&fditm=&tgt=pla-2412849993011&locintrst=&locphyscl=9017274&mtchtyp=&ntwrk=g&device=c&dvcmdl=&creative=756472634791&plcmnt=&plcmntcat=&aceid=&position=&gad_source=1&gad_campaignid=22635874527&gbraid=0AAAAAD8m77qg6GjXGnNFPJJNBO7JP-gd_&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh3sFHvHTk25Bfiihhjd1lV5CSma3N9T0DB5zS5NlOl8mMyo-YxnT0xoCuTgQAvD_BwE,https://us-icbuim-file.oss-us-east-1.aliyuncs.com/chat/bdf5eb8cdbcff22f275396a9d335c13d.pdf?Expires=1753401367&OSSAccessKeyId=LTAIxlzvmECyZvmX&Signature=MnHNZHGWvgjN2qB4v0weXyZ1VoA%3D&response-content-disposition=filename%3DOV2640-camera%20module%281%29.pdf,1.92,1,3.84
Camera lights,https://www.amazon.com/BTF-LIGHTING-WS2812B1M60LB30-BTF-LIGHTING-WS2812B-IC-RGB-5050SMD-Pure-Gold-Individual-Addressable-LED-Strip-High-Quality-3-28FT-60LED-60LED-m-Flexible-Full-Color-IP30-DC5V-for-DIY-Chasing-Color-Project-No-Adapter-or-Controller/dp/B01CDTED80/ref=asc_df_B01CDTED80?mcid=aab6f3a36a97389abee1397380f9f389&hvocijid=12922171453011528359-B01CDTED80-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=721245378154&hvpos=&hvnetw=g&hvrand=12922171453011528359&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9017274&hvtargid=pla-2281435178138&th=1,DNE,8.99,0.5,8.99
buck converter,https://www.alibaba.com/product-detail/p_1601286665356.html?mark=google_shopping&src=sem_ggl&field=UG&from=sem_ggl&cmpgn=22635874527&adgrp=177485315221&fditm=&tgt=pla-2412849993011&locintrst=&locphyscl=9017274&mtchtyp=&ntwrk=g&device=c&dvcmdl=&creative=756472634791&plcmnt=&plcmntcat=&aceid=&position=&gad_source=1&gad_campaignid=22635874527&gbraid=0AAAAAD8m77qg6GjXGnNFPJJNBO7JP-gd_&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh8IpI8KVBmbsfgQdDGbDhzUhFWClT8oR7es3Ld-Gnn2vdX73xH4lPhoCQGAQAvD_BwE,DNE,0.38,1,0.76
1000Uf Capacitor,https://www.digikey.com/en/products/detail/nichicon/UCM1C102MNL1GS/4991837,N/A,1.03,1,2.06
indicator resistor,https://www.digikey.com/en/products/detail/yageo/RC0805FR-10220RL/14008826?gad_source=1&gad_campaignid=17335707486&gbraid=0AAAAADrbLlhVc93_s6E8uaIuN5tZzR-_j&gclid=CjwKCAjw7fzDBhA7EiwAOqJkh527CsFJCFbNzJa69-usU-6znfyDCfmTJSqq4D7XPAFFFQfJqj3mFBoC7a4QAvD_BwE&gclsrc=aw.ds,N/A,0.1,1,0.2
